"","Date","Interval","Duration"
"1",1,78,4.40000009536743
"2",1,74,3.90000009536743
"3",1,68,4
"4",1,76,4
"5",1,80,3.5
"6",1,84,4.09999990463257
"7",1,50,2.29999995231628
"8",1,93,4.69999980926514
"9",1,55,1.70000004768372
"10",1,76,4.90000009536743
"11",1,58,1.70000004768372
"12",1,74,4.59999990463257
"13",1,75,3.40000009536743
"14",2,80,4.30000019073486
"15",2,56,1.70000004768372
"16",2,80,3.90000009536743
"17",2,69,3.70000004768372
"18",2,57,3.09999990463257
"19",2,90,4
"20",2,42,1.79999995231628
"21",2,91,4.09999990463257
"22",2,51,1.79999995231628
"23",2,79,3.20000004768372
"24",2,53,1.89999997615814
"25",2,82,4.59999990463257
"26",2,51,2
"27",3,76,4.5
"28",3,82,3.90000009536743
"29",3,84,4.30000019073486
"30",3,53,2.29999995231628
"31",3,86,3.79999995231628
"32",3,51,1.89999997615814
"33",3,85,4.59999990463257
"34",3,45,1.79999995231628
"35",3,88,4.69999980926514
"36",3,51,1.79999995231628
"37",3,80,4.59999990463257
"38",3,49,1.89999997615814
"39",3,82,3.5
"40",4,75,4
"41",4,73,3.70000004768372
"42",4,67,3.70000004768372
"43",4,68,4.30000019073486
"44",4,86,3.59999990463257
"45",4,72,3.79999995231628
"46",4,75,3.79999995231628
"47",4,75,3.79999995231628
"48",4,66,2.5
"49",4,84,4.5
"50",4,70,4.09999990463257
"51",4,79,3.70000004768372
"52",4,60,3.79999995231628
"53",4,86,3.40000009536743
"54",5,71,4
"55",5,67,2.29999995231628
"56",5,81,4.40000009536743
"57",5,76,4.09999990463257
"58",5,83,4.30000019073486
"59",5,76,3.29999995231628
"60",5,55,2
"61",5,73,4.30000019073486
"62",5,56,2.90000009536743
"63",5,83,4.59999990463257
"64",5,57,1.89999997615814
"65",5,71,3.59999990463257
"66",5,72,3.70000004768372
"67",5,77,3.70000004768372
"68",6,55,1.79999995231628
"69",6,75,4.59999990463257
"70",6,73,3.5
"71",6,70,4
"72",6,83,3.70000004768372
"73",6,50,1.70000004768372
"74",6,95,4.59999990463257
"75",6,51,1.70000004768372
"76",6,82,4
"77",6,54,1.79999995231628
"78",6,83,4.40000009536743
"79",6,51,1.89999997615814
"80",6,80,4.59999990463257
"81",6,78,2.90000009536743
"82",7,81,3.5
"83",7,53,2
"84",7,89,4.30000019073486
"85",7,44,1.79999995231628
"86",7,78,4.09999990463257
"87",7,61,1.79999995231628
"88",7,73,4.69999980926514
"89",7,75,4.19999980926514
"90",7,73,3.90000009536743
"91",7,76,4.30000019073486
"92",7,55,1.79999995231628
"93",7,86,4.5
"94",7,48,2
"95",8,77,4.19999980926514
"96",8,73,4.40000009536743
"97",8,70,4.09999990463257
"98",8,88,4.09999990463257
"99",8,75,4
"100",8,83,4.09999990463257
"101",8,61,2.70000004768372
"102",8,78,4.59999990463257
"103",8,61,1.89999997615814
"104",8,81,4.5
"105",8,51,2
"106",8,80,4.80000019073486
"107",8,79,4.09999990463257
